,Algorithm,CandidatesNum,PopulationSize,Alpha,IterationNumber,Result
399,4,5,35,0.2,50,4.8
400,4,5,35,0.25,5,4.8
401,4,5,35,0.25,10,4.8
402,4,5,35,0.25,15,4.6
403,4,5,35,0.25,20,4.6
404,4,5,35,0.25,25,4.8
405,4,5,35,0.25,30,4.4
406,4,5,35,0.25,35,5.0
407,4,5,35,0.25,40,4.6
408,4,5,35,0.25,45,4.6
409,4,5,35,0.25,50,4.6
410,4,5,35,0.3,5,4.4
411,4,5,35,0.3,10,5.0
412,4,5,35,0.3,15,5.0
413,4,5,35,0.3,20,5.0
414,4,5,35,0.3,25,4.6
415,4,5,35,0.3,30,4.8
416,4,5,35,0.3,35,4.8
417,4,5,35,0.3,40,4.8
418,4,5,35,0.3,45,4.6
419,4,5,35,0.3,50,4.6
420,4,5,40,0.05,5,5.0
421,4,5,40,0.05,10,5.0
422,4,5,40,0.05,15,4.6
423,4,5,40,0.05,20,4.4
424,4,5,40,0.05,25,4.4
425,4,5,40,0.05,30,4.6
426,4,5,40,0.05,35,4.8
427,4,5,40,0.05,40,4.6
428,4,5,40,0.05,45,4.6
429,4,5,40,0.05,50,4.8
430,4,5,40,0.1,5,4.8
431,4,5,40,0.1,10,4.6
432,4,5,40,0.1,15,5.0
433,4,5,40,0.1,20,4.0
434,4,5,40,0.1,25,4.4
435,4,5,40,0.1,30,4.4
436,4,5,40,0.1,35,5.0
437,4,5,40,0.1,40,4.4
438,4,5,40,0.1,45,4.2
439,4,5,40,0.1,50,4.6
440,4,5,40,0.15,5,4.6
441,4,5,40,0.15,10,4.6
442,4,5,40,0.15,15,5.0
443,4,5,40,0.15,20,4.4
444,4,5,40,0.15,25,4.6
445,4,5,40,0.15,30,4.6
446,4,5,40,0.15,35,4.6
447,4,5,40,0.15,40,4.6
448,4,5,40,0.15,45,4.6
449,4,5,40,0.15,50,4.6
450,4,5,40,0.2,5,5.0
451,4,5,40,0.2,10,4.8
452,4,5,40,0.2,15,4.4
453,4,5,40,0.2,20,4.8
454,4,5,40,0.2,25,4.4
455,4,5,40,0.2,30,4.4
456,4,5,40,0.2,35,4.2
457,4,5,40,0.2,40,4.8
458,4,5,40,0.2,45,4.4
459,4,5,40,0.2,50,4.4
460,4,5,40,0.25,5,5.0
461,4,5,40,0.25,10,5.0
462,4,5,40,0.25,15,5.0
463,4,5,40,0.25,20,4.8
464,4,5,40,0.25,25,4.8
465,4,5,40,0.25,30,4.8
466,4,5,40,0.25,35,5.0
467,4,5,40,0.25,40,4.4
468,4,5,40,0.25,45,4.8
469,4,5,40,0.25,50,4.2
470,4,5,40,0.3,5,4.6
471,4,5,40,0.3,10,4.8
