,Algorithm,CandidatesNum,GroupsNumber,GroupMembers,Result
528,1,350,5,5,6.0
529,1,350,5,6,7.0
530,1,350,6,2,2.0
531,1,350,6,3,3.7
532,1,350,6,4,5.0
533,1,350,6,5,6.0
534,1,350,6,6,7.1
535,1,350,7,2,2.1
536,1,350,7,3,3.8
537,1,350,7,4,5.0
538,1,350,7,5,6.2
539,1,350,7,6,7.6
540,1,370,2,2,2.0
541,1,370,2,3,3.0
542,1,370,2,4,4.0
543,1,370,2,5,5.0
544,1,370,2,6,6.0
545,1,370,3,2,2.0
546,1,370,3,3,3.0
547,1,370,3,4,4.0
548,1,370,3,5,5.0
549,1,370,3,6,6.3
550,1,370,4,2,2.0
551,1,370,4,3,3.0
552,1,370,4,4,4.1
553,1,370,4,5,5.8
554,1,370,4,6,6.6
555,1,370,5,2,2.0
556,1,370,5,3,3.0
557,1,370,5,4,4.8
558,1,370,5,5,6.0
559,1,370,5,6,7.0
560,1,370,6,2,2.0
561,1,370,6,3,3.6
562,1,370,6,4,5.0
563,1,370,6,5,6.0
564,1,370,6,6,7.2
565,1,370,7,2,2.0
566,1,370,7,3,3.9
567,1,370,7,4,4.9
568,1,370,7,5,6.2
569,1,370,7,6,7.6
570,1,390,2,2,2.0
571,1,390,2,3,3.0
572,1,390,2,4,4.0
573,1,390,2,5,5.0
574,1,390,2,6,6.0
575,1,390,3,2,2.0
576,1,390,3,3,3.0
577,1,390,3,4,4.0
578,1,390,3,5,5.1
579,1,390,3,6,6.1
580,1,390,4,2,2.0
581,1,390,4,3,3.0
582,1,390,4,4,4.1
583,1,390,4,5,5.6
584,1,390,4,6,6.7
585,1,390,5,2,2.0
586,1,390,5,3,3.2
587,1,390,5,4,4.9
588,1,390,5,5,5.9
589,1,390,5,6,7.2
590,1,390,6,2,2.0
591,1,390,6,3,3.6
592,1,390,6,4,4.9
593,1,390,6,5,5.9
594,1,390,6,6,7.4
595,1,390,7,2,2.1
596,1,390,7,3,3.9
597,1,390,7,4,5.0
598,1,390,7,5,6.1
599,1,390,7,6,7.5
600,1,410,2,2,2.0
601,1,410,2,3,3.0
602,1,410,2,4,4.0
603,1,410,2,5,5.0
604,1,410,2,6,6.0
605,1,410,3,2,2.0
606,1,410,3,3,3.0
607,1,410,3,4,4.0
608,1,410,3,5,5.0
609,1,410,3,6,6.0
610,1,410,4,2,2.0
611,1,410,4,3,3.0
612,1,410,4,4,4.2
613,1,410,4,5,5.6
614,1,410,4,6,6.7
615,1,410,5,2,2.0
616,1,410,5,3,3.2
617,1,410,5,4,4.7
618,1,410,5,5,5.9
619,1,410,5,6,7.0
620,1,410,6,2,2.0
621,1,410,6,3,3.3
622,1,410,6,4,4.9
623,1,410,6,5,6.0
624,1,410,6,6,7.3
625,1,410,7,2,2.0
626,1,410,7,3,3.9
627,1,410,7,4,5.0
628,1,410,7,5,6.2
629,1,410,7,6,7.6
630,1,430,2,2,2.0
631,1,430,2,3,3.0
632,1,430,2,4,4.0
633,1,430,2,5,5.0
634,1,430,2,6,6.0
635,1,430,3,2,2.0
636,1,430,3,3,3.0
637,1,430,3,4,4.0
638,1,430,3,5,5.0
639,1,430,3,6,6.4
640,1,430,4,2,2.0
641,1,430,4,3,3.0
642,1,430,4,4,4.1
643,1,430,4,5,5.7
644,1,430,4,6,6.8
645,1,430,5,2,2.0
646,1,430,5,3,3.4
647,1,430,5,4,4.6
648,1,430,5,5,5.9
649,1,430,5,6,7.1
650,1,430,6,2,2.0
651,1,430,6,3,3.6
652,1,430,6,4,4.9
653,1,430,6,5,6.0
654,1,430,6,6,7.2
655,1,430,7,2,2.2
656,1,430,7,3,3.9
657,1,430,7,4,4.9
658,1,430,7,5,6.2
659,1,430,7,6,7.3
660,1,450,2,2,2.0
661,1,450,2,3,3.0
662,1,450,2,4,4.0
663,1,450,2,5,5.0
664,1,450,2,6,6.0
665,1,450,3,2,2.0
666,1,450,3,3,3.0
667,1,450,3,4,4.0
668,1,450,3,5,5.0
669,1,450,3,6,6.1
670,1,450,4,2,2.0
671,1,450,4,3,3.0
672,1,450,4,4,4.1
673,1,450,4,5,5.3
674,1,450,4,6,6.9
675,1,450,5,2,2.0
676,1,450,5,3,3.2
677,1,450,5,4,4.6
678,1,450,5,5,5.9
679,1,450,5,6,7.0
680,1,450,6,2,2.0
681,1,450,6,3,3.6
682,1,450,6,4,5.0
683,1,450,6,5,6.0
684,1,450,6,6,7.2
685,1,450,7,2,2.1
686,1,450,7,3,3.9
687,1,450,7,4,5.0
688,1,450,7,5,6.0
689,1,450,7,6,7.8
690,1,470,2,2,2.0
691,1,470,2,3,3.0
692,1,470,2,4,4.0
693,1,470,2,5,5.0
694,1,470,2,6,6.0
695,1,470,3,2,2.0
696,1,470,3,3,3.0
697,1,470,3,4,4.0
698,1,470,3,5,5.0
699,1,470,3,6,6.0
700,1,470,4,2,2.0
701,1,470,4,3,3.0
702,1,470,4,4,4.2
703,1,470,4,5,5.6
704,1,470,4,6,6.9
705,1,470,5,2,2.0
706,1,470,5,3,3.4
707,1,470,5,4,4.9
708,1,470,5,5,5.9
709,1,470,5,6,7.1
710,1,470,6,2,2.0
711,1,470,6,3,3.4
712,1,470,6,4,5.0
713,1,470,6,5,6.0
714,1,470,6,6,7.2
715,1,470,7,2,2.0
716,1,470,7,3,3.8
717,1,470,7,4,5.0
